RecipeName,Ingredients,Steps,Cuisine,ingredient_text,search_field,cleaned_search_field
Butter Chicken (Murgh Makhani),"['500g boneless chicken, cubed', '1 cup tomato puree', '1/2 cup heavy cream', '1/4 cup butter', '1 onion, finely chopped', '1 tbsp ginger-garlic paste', '1 tsp red chili powder', '1 tsp garam masala', '1 tbsp kasuri methi (dried fenugreek leaves)', 'Salt to taste', 'Marinade: 1/2 cup yogurt, 1 tsp ginger-garlic paste, 1/2 tsp red chili powder, Salt']","['Marinate chicken with marinade ingredients for at least 30 minutes.', 'Grill or pan-fry the chicken until cooked. Set aside.', 'Heat butter in a pan. Add chopped onion and sauté until golden.', 'Add ginger-garlic paste and cook for 1 minute.', 'Add tomato puree, red chili powder, and salt. Cook until the oil separates.', 'Blend the sauce until smooth (optional, for restaurant-style).', 'Return sauce to pan, add cooked chicken, garam masala, and kasuri methi.', 'Simmer for 5-7 minutes.', 'Stir in the heavy cream. Cook for 2 more minutes and serve hot.']",North Indian,"500g boneless chicken, cubed 1 cup tomato puree 1/2 cup heavy cream 1/4 cup butter 1 onion, finely chopped 1 tbsp ginger-garlic paste 1 tsp red chili powder 1 tsp garam masala 1 tbsp kasuri methi (dried fenugreek leaves) Salt to taste Marinade: 1/2 cup yogurt, 1 tsp ginger-garlic paste, 1/2 tsp red chili powder, Salt","Butter Chicken (Murgh Makhani) Butter Chicken (Murgh Makhani) Butter Chicken (Murgh Makhani) 500g boneless chicken, cubed 1 cup tomato puree 1/2 cup heavy cream 1/4 cup butter 1 onion, finely chopped 1 tbsp ginger-garlic paste 1 tsp red chili powder 1 tsp garam masala 1 tbsp kasuri methi (dried fenugreek leaves) Salt to taste Marinade: 1/2 cup yogurt, 1 tsp ginger-garlic paste, 1/2 tsp red chili powder, Salt",butter chicken murgh makhani butter chicken murgh makhani butter chicken murgh makhani g boneless chicken cubed cup tomato puree cup heavy cream cup butter onion finely chopped tbsp gingergarlic paste tsp red chili powder tsp garam masala tbsp kasuri methi dried fenugreek leaves salt taste marinade cup yogurt tsp gingergarlic paste tsp red chili powder salt
Chicken Tikka Masala,"['500g boneless chicken (from Butter Chicken marinade)', '1 large onion, chopped', '1 bell pepper, chopped (optional)', '1 cup tomato puree', '1/2 cup heavy cream', '1 tbsp ginger-garlic paste', '1 tsp turmeric powder', '1 tsp coriander powder', '1 tsp cumin powder', '1 tsp garam masala', '2 tbsp vegetable oil', 'Salt to taste']","['Marinate and cook chicken tikka as in the Butter Chicken recipe.', 'Heat oil in a separate pan. Sauté onions and bell peppers until soft.', 'Add ginger-garlic paste and cook for 1 minute.', 'Add tomato puree, turmeric, coriander, cumin, and salt. Cook until gravy thickens.', 'Add the cooked chicken tikka pieces to the gravy.', 'Stir in garam masala and heavy cream.', 'Simmer for 5-10 minutes and serve.']",North Indian,"500g boneless chicken (from Butter Chicken marinade) 1 large onion, chopped 1 bell pepper, chopped (optional) 1 cup tomato puree 1/2 cup heavy cream 1 tbsp ginger-garlic paste 1 tsp turmeric powder 1 tsp coriander powder 1 tsp cumin powder 1 tsp garam masala 2 tbsp vegetable oil Salt to taste","Chicken Tikka Masala Chicken Tikka Masala Chicken Tikka Masala 500g boneless chicken (from Butter Chicken marinade) 1 large onion, chopped 1 bell pepper, chopped (optional) 1 cup tomato puree 1/2 cup heavy cream 1 tbsp ginger-garlic paste 1 tsp turmeric powder 1 tsp coriander powder 1 tsp cumin powder 1 tsp garam masala 2 tbsp vegetable oil Salt to taste",chicken tikka masala chicken tikka masala chicken tikka masala g boneless chicken butter chicken marinade large onion chopped bell pepper chopped optional cup tomato puree cup heavy cream tbsp gingergarlic paste tsp turmeric powder tsp coriander powder tsp cumin powder tsp garam masala tbsp vegetable oil salt taste
Chana Masala,"['2 cups boiled chickpeas (canned or pressure-cooked)', '1 large onion, finely chopped', '2 tomatoes, pureed', '1 tbsp ginger-garlic paste', '1 tsp cumin seeds', '1 tsp coriander powder', '1/2 tsp turmeric powder', '1 tsp chana masala powder', '1/2 tsp red chili powder', '2 tbsp vegetable oil', 'Salt to taste', 'Cilantro for garnish']","['Heat oil in a pan. Add cumin seeds and let them splutter.', 'Add chopped onion and sauté until golden brown.', 'Add ginger-garlic paste and cook for a minute.', 'Add tomato puree, turmeric, coriander powder, chili powder, and chana masala powder.', 'Cook the masala until oil separates.', 'Add the boiled chickpeas and 1 cup of water (or the water chickpeas were boiled in).', 'Add salt, mix well, and bring to a simmer.', 'Cover and cook for 10-15 minutes on low heat.', 'Garnish with fresh cilantro.']",North Indian,"2 cups boiled chickpeas (canned or pressure-cooked) 1 large onion, finely chopped 2 tomatoes, pureed 1 tbsp ginger-garlic paste 1 tsp cumin seeds 1 tsp coriander powder 1/2 tsp turmeric powder 1 tsp chana masala powder 1/2 tsp red chili powder 2 tbsp vegetable oil Salt to taste Cilantro for garnish","Chana Masala Chana Masala Chana Masala 2 cups boiled chickpeas (canned or pressure-cooked) 1 large onion, finely chopped 2 tomatoes, pureed 1 tbsp ginger-garlic paste 1 tsp cumin seeds 1 tsp coriander powder 1/2 tsp turmeric powder 1 tsp chana masala powder 1/2 tsp red chili powder 2 tbsp vegetable oil Salt to taste Cilantro for garnish",chana masala chana masala chana masala cups boiled chickpeas canned pressurecooked large onion finely chopped tomatoes pureed tbsp gingergarlic paste tsp cumin seeds tsp coriander powder tsp turmeric powder tsp chana masala powder tsp red chili powder tbsp vegetable oil salt taste cilantro garnish
Palak Paneer,"['250g paneer (Indian cottage cheese), cubed', '1 large bunch spinach (palak), blanched and pureed', '1 onion, finely chopped', '1 tomato, finely chopped', '1 tsp ginger-garlic paste', '1/2 tsp cumin seeds', '1/2 tsp turmeric powder', '1/2 tsp red chili powder', '1/2 tsp garam masala', '2 tbsp cream (optional)', '2 tbsp oil or ghee', 'Salt to taste']","['Blanch spinach in hot water for 2-3 minutes, then transfer to cold water. Drain and blend to a smooth puree.', 'Heat oil/ghee in a pan. Add cumin seeds.', 'Add chopped onion and sauté until translucent.', 'Add ginger-garlic paste and chopped tomato. Cook until tomatoes are soft.', 'Add turmeric, red chili powder, and salt. Cook for 1-2 minutes.', 'Add the spinach puree and cook for 5-7 minutes.', 'Add the paneer cubes and garam masala. Stir gently.', 'Simmer for 5 minutes. Stir in cream (if using) just before serving.']",North Indian,"250g paneer (Indian cottage cheese), cubed 1 large bunch spinach (palak), blanched and pureed 1 onion, finely chopped 1 tomato, finely chopped 1 tsp ginger-garlic paste 1/2 tsp cumin seeds 1/2 tsp turmeric powder 1/2 tsp red chili powder 1/2 tsp garam masala 2 tbsp cream (optional) 2 tbsp oil or ghee Salt to taste","Palak Paneer Palak Paneer Palak Paneer 250g paneer (Indian cottage cheese), cubed 1 large bunch spinach (palak), blanched and pureed 1 onion, finely chopped 1 tomato, finely chopped 1 tsp ginger-garlic paste 1/2 tsp cumin seeds 1/2 tsp turmeric powder 1/2 tsp red chili powder 1/2 tsp garam masala 2 tbsp cream (optional) 2 tbsp oil or ghee Salt to taste",palak paneer palak paneer palak paneer g paneer indian cottage cheese cubed large bunch spinach palak blanched pureed onion finely chopped tomato finely chopped tsp gingergarlic paste tsp cumin seeds tsp turmeric powder tsp red chili powder tsp garam masala tbsp cream optional tbsp oil ghee salt taste
Dal Makhani,"['1 cup whole black lentils (urad dal)', '1/4 cup kidney beans (rajma)', '1 onion, finely chopped', '2 tomatoes, pureed', '1 tbsp ginger-garlic paste', '1/4 cup butter', '1/4 cup heavy cream', '1 tsp red chili powder', '1 tsp garam masala', 'Salt to taste']","['Soak lentils and kidney beans overnight. Pressure cook with salt until very soft (about 6-8 whistles).', 'Do not drain the water. Lightly mash some of the lentils.', 'In a separate pan, heat butter. Sauté onions until golden.', 'Add ginger-garlic paste and cook for a minute.', 'Add tomato puree, red chili powder, and garam masala. Cook until oil separates.', 'Pour this tempering into the cooked lentils.', 'Add salt, mix well, and let it simmer on low heat for at least 30 minutes, stirring occasionally.', 'Stir in the heavy cream just before serving.']",North Indian,"1 cup whole black lentils (urad dal) 1/4 cup kidney beans (rajma) 1 onion, finely chopped 2 tomatoes, pureed 1 tbsp ginger-garlic paste 1/4 cup butter 1/4 cup heavy cream 1 tsp red chili powder 1 tsp garam masala Salt to taste","Dal Makhani Dal Makhani Dal Makhani 1 cup whole black lentils (urad dal) 1/4 cup kidney beans (rajma) 1 onion, finely chopped 2 tomatoes, pureed 1 tbsp ginger-garlic paste 1/4 cup butter 1/4 cup heavy cream 1 tsp red chili powder 1 tsp garam masala Salt to taste",dal makhani dal makhani dal makhani cup whole black lentils urad dal cup kidney beans rajma onion finely chopped tomatoes pureed tbsp gingergarlic paste cup butter cup heavy cream tsp red chili powder tsp garam masala salt taste
Aloo Gobi,"['1 medium cauliflower, cut into florets', '2 large potatoes, peeled and cubed', '1 onion, sliced', '1 tomato, chopped', '1 tsp ginger, grated', '1 tsp cumin seeds', '1/2 tsp turmeric powder', '1 tsp coriander powder', '1/2 tsp red chili powder', '2 tbsp vegetable oil', 'Salt to taste', 'Cilantro for garnish']","['Heat oil in a pan. Add cumin seeds.', 'Add sliced onion and sauté until translucent.', 'Add grated ginger and chopped tomato. Cook for 2-3 minutes.', 'Add turmeric, coriander powder, and chili powder. Stir for 30 seconds.', 'Add the potato cubes and cauliflower florets. Add salt and mix well to coat with spices.', 'Cover and cook on low-medium heat for 15-20 minutes, stirring occasionally, until vegetables are tender.', 'Garnish with cilantro and serve.']",North Indian,"1 medium cauliflower, cut into florets 2 large potatoes, peeled and cubed 1 onion, sliced 1 tomato, chopped 1 tsp ginger, grated 1 tsp cumin seeds 1/2 tsp turmeric powder 1 tsp coriander powder 1/2 tsp red chili powder 2 tbsp vegetable oil Salt to taste Cilantro for garnish","Aloo Gobi Aloo Gobi Aloo Gobi 1 medium cauliflower, cut into florets 2 large potatoes, peeled and cubed 1 onion, sliced 1 tomato, chopped 1 tsp ginger, grated 1 tsp cumin seeds 1/2 tsp turmeric powder 1 tsp coriander powder 1/2 tsp red chili powder 2 tbsp vegetable oil Salt to taste Cilantro for garnish",aloo gobi aloo gobi aloo gobi medium cauliflower cut florets large potatoes peeled cubed onion sliced tomato chopped tsp ginger grated tsp cumin seeds tsp turmeric powder tsp coriander powder tsp red chili powder tbsp vegetable oil salt taste cilantro garnish
Paneer Butter Masala,"['250g paneer, cubed', '2 large tomatoes, pureed', '1 onion, chopped', '1/4 cup cashews, soaked in warm water', '1 tbsp ginger-garlic paste', '1 tsp red chili powder', '1/2 tsp turmeric powder', '1 tsp garam masala', '1/4 cup heavy cream', '2 tbsp butter', '1 tbsp kasuri methi', 'Salt to taste']","['Make a paste of the soaked cashews.', 'Heat butter in a pan. Sauté onions until golden.', 'Add ginger-garlic paste and cook for 1 minute.', 'Add tomato puree, chili powder, turmeric, and salt. Cook until oil separates.', 'Add the cashew paste and cook for another 3-4 minutes, stirring constantly.', 'Add 1 cup of water and bring to a simmer. Let the gravy cook for 5 minutes.', 'Add the paneer cubes, garam masala, and kasuri methi.', 'Simmer for 5 minutes. Stir in the heavy cream and serve hot.']",North Indian,"250g paneer, cubed 2 large tomatoes, pureed 1 onion, chopped 1/4 cup cashews, soaked in warm water 1 tbsp ginger-garlic paste 1 tsp red chili powder 1/2 tsp turmeric powder 1 tsp garam masala 1/4 cup heavy cream 2 tbsp butter 1 tbsp kasuri methi Salt to taste","Paneer Butter Masala Paneer Butter Masala Paneer Butter Masala 250g paneer, cubed 2 large tomatoes, pureed 1 onion, chopped 1/4 cup cashews, soaked in warm water 1 tbsp ginger-garlic paste 1 tsp red chili powder 1/2 tsp turmeric powder 1 tsp garam masala 1/4 cup heavy cream 2 tbsp butter 1 tbsp kasuri methi Salt to taste",paneer butter masala paneer butter masala paneer butter masala g paneer cubed large tomatoes pureed onion chopped cup cashews soaked warm water tbsp gingergarlic paste tsp red chili powder tsp turmeric powder tsp garam masala cup heavy cream tbsp butter tbsp kasuri methi salt taste
Samosa,"['Dough: 1 cup all-purpose flour, 2 tbsp ghee, 1/4 tsp ajwain (carom seeds), Salt, Water', 'Filling: 2 large potatoes (boiled, peeled, and mashed), 1/2 cup green peas (boiled), 1 tsp grated ginger, 1 green chili (chopped), 1/2 tsp cumin seeds, 1 tsp coriander powder, 1/2 tsp garam masala, Salt, Oil for deep frying']","['For dough: Mix flour, salt, ajwain, and ghee. Rub until it resembles breadcrumbs. Add water slowly to form a stiff dough. Cover and rest for 30 minutes.', 'For filling: Heat 1 tbsp oil. Add cumin seeds, ginger, and green chili. Sauté for 30 seconds.', 'Add coriander powder, garam masala, and boiled peas. Cook for 1 minute.', 'Add mashed potatoes and salt. Mix well and cook for 2-3 minutes. Let it cool.', 'Make small balls from the dough. Roll into an oval shape. Cut in half.', 'Take one half, form a cone, and stuff it with the potato filling. Seal the edges using water.', 'Heat oil in a pan on medium-low heat. Deep fry the samosas until golden brown and crisp.']",Indian Snack,"Dough: 1 cup all-purpose flour, 2 tbsp ghee, 1/4 tsp ajwain (carom seeds), Salt, Water Filling: 2 large potatoes (boiled, peeled, and mashed), 1/2 cup green peas (boiled), 1 tsp grated ginger, 1 green chili (chopped), 1/2 tsp cumin seeds, 1 tsp coriander powder, 1/2 tsp garam masala, Salt, Oil for deep frying","Samosa Samosa Samosa Dough: 1 cup all-purpose flour, 2 tbsp ghee, 1/4 tsp ajwain (carom seeds), Salt, Water Filling: 2 large potatoes (boiled, peeled, and mashed), 1/2 cup green peas (boiled), 1 tsp grated ginger, 1 green chili (chopped), 1/2 tsp cumin seeds, 1 tsp coriander powder, 1/2 tsp garam masala, Salt, Oil for deep frying",samosa samosa samosa dough cup allpurpose flour tbsp ghee tsp ajwain carom seeds salt water filling large potatoes boiled peeled mashed cup green peas boiled tsp grated ginger green chili chopped tsp cumin seeds tsp coriander powder tsp garam masala salt oil deep frying
Naan,"['2 cups all-purpose flour', '1/2 cup warm milk', '1/4 cup plain yogurt', '1 tsp active dry yeast', '1 tsp sugar', '1/2 tsp salt', '2 tbsp melted butter', 'Nigella seeds (kalonji) and cilantro for topping']","['Dissolve sugar and yeast in warm milk. Let it sit for 10 minutes until frothy.', 'In a large bowl, mix flour and salt. Make a well in the center.', 'Pour in the yeast-milk mixture, yogurt, and 1 tbsp of melted butter.', 'Knead into a soft, smooth dough. Cover and let it rise in a warm place for 1-2 hours.', 'Knead the dough again. Divide into equal-sized balls.', 'Roll each ball into a teardrop shape. Sprinkle with nigella seeds and cilantro, pressing them in.', 'Heat a cast-iron skillet (tava) over high heat.', 'Place the naan on the hot tava. When bubbles appear, flip it.', 'Cook the other side directly over the flame (using tongs) until charred spots appear.', 'Brush with the remaining melted butter and serve hot.']",Indian Bread,2 cups all-purpose flour 1/2 cup warm milk 1/4 cup plain yogurt 1 tsp active dry yeast 1 tsp sugar 1/2 tsp salt 2 tbsp melted butter Nigella seeds (kalonji) and cilantro for topping,Naan Naan Naan 2 cups all-purpose flour 1/2 cup warm milk 1/4 cup plain yogurt 1 tsp active dry yeast 1 tsp sugar 1/2 tsp salt 2 tbsp melted butter Nigella seeds (kalonji) and cilantro for topping,naan naan naan cups allpurpose flour cup warm milk cup plain yogurt tsp active dry yeast tsp sugar tsp salt tbsp melted butter nigella seeds kalonji cilantro topping
Tandoori Chicken,"['1 whole chicken, skin removed and cut into 4 pieces', 'Marinade 1: 1 tbsp lime juice, 1 tsp red chili powder, Salt', 'Marinade 2: 1 cup thick yogurt, 2 tbsp ginger-garlic paste, 1 tsp garam masala, 1 tsp coriander powder, 1 tsp cumin powder, 1/2 tsp turmeric, 1 tbsp kasuri methi, 2 tbsp vegetable oil']","['Make deep gashes in the chicken pieces.', 'Apply the first marinade (lime juice, chili powder, salt) and let it rest for 15 minutes.', 'In a bowl, mix all ingredients for the second marinade.', 'Coat the chicken pieces thoroughly with the second marinade. Refrigerate for at least 4 hours, or overnight.', 'Preheat oven to 220°C (425°F).', 'Place chicken on a baking rack over a tray.', 'Bake for 20-25 minutes, then flip and bake for another 10-15 minutes, or until cooked through and charred.', 'Baste with oil or butter halfway through. Serve with onion rings and lemon wedges.']",North Indian,"1 whole chicken, skin removed and cut into 4 pieces Marinade 1: 1 tbsp lime juice, 1 tsp red chili powder, Salt Marinade 2: 1 cup thick yogurt, 2 tbsp ginger-garlic paste, 1 tsp garam masala, 1 tsp coriander powder, 1 tsp cumin powder, 1/2 tsp turmeric, 1 tbsp kasuri methi, 2 tbsp vegetable oil","Tandoori Chicken Tandoori Chicken Tandoori Chicken 1 whole chicken, skin removed and cut into 4 pieces Marinade 1: 1 tbsp lime juice, 1 tsp red chili powder, Salt Marinade 2: 1 cup thick yogurt, 2 tbsp ginger-garlic paste, 1 tsp garam masala, 1 tsp coriander powder, 1 tsp cumin powder, 1/2 tsp turmeric, 1 tbsp kasuri methi, 2 tbsp vegetable oil",tandoori chicken tandoori chicken tandoori chicken whole chicken skin removed cut pieces marinade tbsp lime juice tsp red chili powder salt marinade cup thick yogurt tbsp gingergarlic paste tsp garam masala tsp coriander powder tsp cumin powder tsp turmeric tbsp kasuri methi tbsp vegetable oil
